hs6_code,ucc_code,ucc_description,map_weight,confidence_level
030256,070230,FRESH FISH AND SHELLFISH,0.243,MEDIUM-LOW
030256,070240,FROZEN FISH AND SHELLFISH,0.243,MEDIUM-LOW
030259,070110,CANNED FISH AND SEAFOOD,0.2582,MEDIUM-LOW
030259,070230,FRESH FISH AND SHELLFISH,0.2582,MEDIUM-LOW
030259,070240,FROZEN FISH AND SHELLFISH,0.2582,MEDIUM-LOW
030259,050410,LAMB AND ORGAN MEATS,0.2253,MEDIUM
030272,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030272,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030272,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030273,070110,CANNED FISH AND SEAFOOD,0.2739,MEDIUM
030273,070230,FRESH FISH AND SHELLFISH,0.2739,MEDIUM
030273,070240,FROZEN FISH AND SHELLFISH,0.2739,MEDIUM
030273,050410,LAMB AND ORGAN MEATS,0.1782,MEDIUM
030279,070110,CANNED FISH AND SEAFOOD,0.2569,MEDIUM
030279,070230,FRESH FISH AND SHELLFISH,0.2569,MEDIUM
030279,070240,FROZEN FISH AND SHELLFISH,0.2569,MEDIUM
030279,050410,LAMB AND ORGAN MEATS,0.2293,MEDIUM
030284,050410,LAMB AND ORGAN MEATS,0.2706,MEDIUM
030284,070110,CANNED FISH AND SEAFOOD,0.2431,MEDIUM-LOW
030284,070230,FRESH FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030284,070240,FROZEN FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030285,050410,LAMB AND ORGAN MEATS,0.2706,MEDIUM
030285,070110,CANNED FISH AND SEAFOOD,0.2431,MEDIUM-LOW
030285,070230,FRESH FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030285,070240,FROZEN FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030289,070110,CANNED FISH AND SEAFOOD,0.2649,MEDIUM-LOW
030289,070230,FRESH FISH AND SHELLFISH,0.2649,MEDIUM-LOW
030289,070240,FROZEN FISH AND SHELLFISH,0.2649,MEDIUM-LOW
030289,050410,LAMB AND ORGAN MEATS,0.2053,MEDIUM
030290,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030290,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030290,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030291,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030291,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030291,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030292,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030292,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030292,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030299,050410,LAMB AND ORGAN MEATS,0.3457,HIGH
030299,070110,CANNED FISH AND SEAFOOD,0.2181,MEDIUM
030299,070230,FRESH FISH AND SHELLFISH,0.2181,MEDIUM
030299,070240,FROZEN FISH AND SHELLFISH,0.2181,MEDIUM
030311,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030311,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030311,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030312,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030312,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030312,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030313,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030313,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030313,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030314,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030314,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030314,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030323,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030323,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030323,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030324,070110,CANNED FISH AND SEAFOOD,0.2742,MEDIUM-HIGH
030324,070230,FRESH FISH AND SHELLFISH,0.2742,MEDIUM-HIGH
030324,070240,FROZEN FISH AND SHELLFISH,0.2742,MEDIUM-HIGH
030324,050410,LAMB AND ORGAN MEATS,0.1773,MEDIUM
030325,070110,CANNED FISH AND SEAFOOD,0.2742,MEDIUM-HIGH
030325,070230,FRESH FISH AND SHELLFISH,0.2742,MEDIUM-HIGH
030325,070240,FROZEN FISH AND SHELLFISH,0.2742,MEDIUM-HIGH
030325,050410,LAMB AND ORGAN MEATS,0.1773,MEDIUM
030329,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030329,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030329,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030331,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030331,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030331,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030339,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-LOW
030339,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030339,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030345,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030345,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030345,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030354,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030354,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030354,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030355,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030355,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030355,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030357,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030357,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030357,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030359,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-LOW
030359,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030359,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030363,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030363,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030363,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030364,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030364,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030364,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030365,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030365,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030365,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030367,070110,CANNED FISH AND SEAFOOD,0.2676,MEDIUM
030367,070230,FRESH FISH AND SHELLFISH,0.2676,MEDIUM
030367,070240,FROZEN FISH AND SHELLFISH,0.2676,MEDIUM
030367,050410,LAMB AND ORGAN MEATS,0.1972,MEDIUM
030369,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-LOW
030369,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030369,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-LOW
030382,050410,LAMB AND ORGAN MEATS,0.2706,MEDIUM
030382,070110,CANNED FISH AND SEAFOOD,0.2431,MEDIUM-LOW
030382,070230,FRESH FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030382,070240,FROZEN FISH AND SHELLFISH,0.2431,MEDIUM-LOW
