level1,level2,description,ucc_code
1,5,BOYS'' UNIFORMS AND ACTIVE SPORTSWEAR,370901
1,5,BOYS'' COSTUMES,370902
1,5,BOYS'' UNIFORMS,370903
1,5,WOMEN''S COATS AND JACKETS,380110
1,5,WOMEN''S DRESSES,380210
1,5,"WOMEN''S SPORTCOATS, TAILORED JACKETS",380311
1,5,"WOMEN''S SWEATERS, SHIRTS, TOPS, VESTS",380315
1,5,WOMEN''S SKIRTS,380320
1,5,WOMEN''S PANTS AND SHORTS,380333
1,5,WOMEN''S ACTIVE SPORTSWEAR,380340
1,5,WOMEN''S SWIMWEAR (NEW UCC Q20191),380360
1,5,WOMEN''S SLEEPWEAR,380410
1,5,WOMEN''S UNDERGARMENTS,380420
1,5,WOMEN''S HOSIERY,380430
1,5,WOMEN''S SUITS,380510
1,5,WOMEN''S ACCESSORIES,380901
1,5,WOMEN''S UNIFORMS,380902
1,5,WOMEN''S COSTUMES,380903
1,5,GIRLS'' COATS AND JACKETS,390110
1,5,GIRLS'' DRESSES AND SUITS,390120
1,5,"GIRLS'' SHIRTS, BLOUSES, SWEATERS, VESTS",390210
1,5,"GIRLS'' SKIRTS, PANTS, AND SHORTS",390223
1,5,GIRLS'' ACTIVE SPORTSWEAR,390230
1,5,GIRLS'' UNDERWEAR AND SLEEPWEAR,390310
1,5,GIRLS'' HOSIERY,390321
1,5,GIRLS'' ACCESSORIES,390322
