code_type,code,description,reason
HS6,283329,Sulphates; n.e.c. in item no. 2833.2,No UCC match found above confidence threshold
HS6,283330,Alums,No UCC match found above confidence threshold
HS6,283340,Peroxosulphates (persulphates),No UCC match found above confidence threshold
HS6,283410,Nitrites,No UCC match found above confidence threshold
HS6,283421,Nitrates; of potassium,No UCC match found above confidence threshold
HS6,283429,Nitrates; of other than potassium,No UCC match found above confidence threshold
HS6,283510,"Phosphinates (hypophosphites) and phosphonates (phosphites), whether or not chemically defined",No UCC match found above confidence threshold
HS6,283522,"Phosphates; of mono- or disodium, whether or not chemically defined",No UCC match found above confidence threshold
HS6,283524,"Phosphates; of potassium, whether or not chemically defined",No UCC match found above confidence threshold
HS6,283525,"Phosphates; calcium hydrogenorthophosphate (dicalcium phosphate), whether or not chemically defined",No UCC match found above confidence threshold
HS6,283526,"Phosphates; of calcium n.e.c. in item no. 2835.25, whether or not chemically defined",No UCC match found above confidence threshold
HS6,283529,"Phosphates; (other than of mono- or disodium, other than of potassium or of calcium hydrogenorthophosphate (dicalcium phosphate) and excluding other phosphates of calcium), whether or not chemically defined",No UCC match found above confidence threshold
HS6,283531,"Polyphosphates; sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined",No UCC match found above confidence threshold
HS6,283539,"Polyphosphates; other than sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined",No UCC match found above confidence threshold
HS6,283711,Cyanides and cyanide oxides; of sodium,No UCC match found above confidence threshold
HS6,283719,Cyanides and cyanide oxides; other than of sodium,No UCC match found above confidence threshold
HS6,283720,Complex cyanides,No UCC match found above confidence threshold
HS6,283911,Silicates; sodium metasilicates,No UCC match found above confidence threshold
HS6,283919,Silicates; of sodium (excluding sodium metasilicates),No UCC match found above confidence threshold
HS6,284011,"Borates; disodium tetraborate (refined borax), anhydrous",No UCC match found above confidence threshold
HS6,284019,"Borates; disodium tetraborate (refined borax), other than anhydrous",No UCC match found above confidence threshold
HS6,284020,Borates; n.e.c. in heading no. 2840,No UCC match found above confidence threshold
HS6,284030,Peroxoborates (perborates),No UCC match found above confidence threshold
HS6,284130,Salts; sodium dichromate,No UCC match found above confidence threshold
HS6,284150,"Salts; chromates, dichromates, peroxochromates; n.e.c. in heading no. 2841",No UCC match found above confidence threshold
HS6,284170,Salts; molybdates,No UCC match found above confidence threshold
HS6,284180,Salts; tungstates (wolframates),No UCC match found above confidence threshold
HS6,284210,"Salts of inorganic acids or peroxoacids, double or complex silicates, including aluminosilicates, whether or not chemically defined, excluding azides",No UCC match found above confidence threshold
